@RELATION hddperf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
100,9,11,448
10,4,12,404
20,4,12,437
30,4,12,514
40,4,12,552
45,4,12,565
50,4,12,526
55,4,12,467
60,4,12,540
70,4,12,450
80,4,12,467
90,4,12,489
100,4,12,502
10,8,12,315
20,8,12,249
30,8,12,517
40,8,12,503
45,8,12,414
50,8,12,439
55,8,12,229
60,8,12,522
70,8,12,410
80,8,12,407
90,8,12,411
100,8,12,424
10,13,12,253
20,13,12,252
30,13,12,386
40,13,12,450
45,13,12,496
50,13,12,424
55,13,12,145
60,13,12,173
70,13,12,403
80,13,12,372
90,13,12,381
100,13,12,422
10,18,12,454
20,18,12,482
30,18,12,461
40,18,12,474
45,18,12,457
50,18,12,388
55,18,12,319
60,18,12,366
70,18,12,370
80,18,12,375
90,18,12,372
100,18,12,382
10,23,12,458
20,23,12,458
30,23,12,438
40,23,12,397
45,23,12,420
50,23,12,340
55,23,12,338
60,23,12,375
70,23,12,365
80,23,12,371
90,23,12,374
100,23,12,370
10,7,13,388
20,7,13,325
30,7,13,486
40,7,13,478
45,7,13,443
50,7,13,444
55,7,13,294
60,7,13,221
70,7,13,384
80,7,13,424
90,7,13,424
100,7,13,471
10,12,13,238
20,12,13,212
30,12,13,490
40,12,13,467
45,12,13,465
50,12,13,392
55,12,13,165
60,12,13,237
70,12,13,360
80,12,13,383
90,12,13,391
100,12,13,370
10,2,14,556
20,2,14,572
30,2,14,588
40,2,14,569
45,2,14,624
50,2,14,597
55,2,14,575
60,2,14,629
70,2,14,494
80,2,14,492
90,2,14,512
100,2,14,520
10,6,14,376
20,6,14,284
30,6,14,502
40,6,14,496
45,6,14,491
50,6,14,471
55,6,14,305
60,6,14,499
70,6,14,415
80,6,14,417
90,6,14,428
100,6,14,416
10,21,14,459
20,21,14,452
30,21,14,438
40,21,14,451
45,21,14,435
50,21,14,339
55,21,14,403
60,21,14,379
70,21,14,372
80,21,14,349
90,21,14,367
100,21,14,365
10,26,14,451
20,26,14,441
30,26,14,420
40,26,14,420
45,26,14,402
50,26,14,382
55,26,14,370
60,26,14,210
70,26,14,346
80,26,14,348
90,26,14,345
100,26,14,349
10,10,15,314
20,10,15,296
30,10,15,444
40,10,15,462
45,10,15,424
50,10,15,405
55,10,15,271
60,10,15,224
70,10,15,367
80,10,15,351
90,10,15,360
100,10,15,410
10,15,15,243
20,15,15,380
30,15,15,456
40,15,15,446
45,15,15,439
50,15,15,412
55,15,15,192
60,15,15,143
70,15,15,364
80,15,15,368
90,15,15,363
100,15,15,373
10,30,15,453
20,30,15,429
30,30,15,407
40,30,15,392
45,30,15,387
50,30,15,241
55,30,15,376
60,30,15,387
70,30,15,356
80,30,15,331
90,30,15,338
100,30,15,333
10,4,16,476
20,4,16,480
30,4,16,594
40,4,16,470
45,4,16,523
50,4,16,540
55,4,16,460
60,4,16,518
70,4,16,418
80,4,16,441
90,4,16,439
100,4,16,449
10,9,16,340
20,9,16,347
30,9,16,468
40,9,16,482
45,9,16,462
50,9,16,432
55,9,16,330
60,9,16,235
70,9,16,370
80,9,16,366
90,9,16,394
100,9,16,404
10,14,16,227
20,14,16,232
30,14,16,447
40,14,16,416
45,14,16,416
50,14,16,386
55,14,16,178
60,14,16,156
70,14,16,385
80,14,16,378
90,14,16,365
100,14,16,355
10,24,16,452
20,24,16,446
30,24,16,436
40,24,16,431
45,24,16,415
50,24,16,365
55,24,16,406
60,24,16,337
70,24,16,351
80,24,16,352
90,24,16,346
100,24,16,326
10,8,17,393
20,8,17,324
30,8,17,458
40,8,17,454
45,8,17,467
50,8,17,443
55,8,17,300
60,8,17,347
70,8,17,348
80,8,17,380
90,8,17,387
100,8,17,424
10,18,17,461
20,18,17,463
30,18,17,465
40,18,17,457
45,18,17,447
50,18,17,348
55,18,17,285
60,18,17,269
70,18,17,365
80,18,17,327
90,18,17,372
100,18,17,362
10,33,17,432
20,33,17,404
30,33,17,371
40,33,17,391
45,33,17,334
50,33,17,374
55,33,17,375
60,33,17,386
70,33,17,326
80,33,17,338
90,33,17,341
100,33,17,319
10,2,18,561
20,2,18,600
30,2,18,499
40,2,18,582
45,2,18,591
50,2,18,555
55,2,18,578
60,2,18,608
70,2,18,450
80,2,18,456
90,2,18,440
100,2,18,483
10,12,18,258
20,12,18,271
30,12,18,435
40,12,18,410
45,12,18,452
50,12,18,403
55,12,18,174
60,12,18,380
70,12,18,345
80,12,18,377
90,12,18,356
100,12,18,360
10,27,18,441
20,27,18,440
30,27,18,375
40,27,18,420
45,27,18,411
50,27,18,342
55,27,18,384
60,27,18,402
70,27,18,349
80,27,18,339
90,27,18,341
100,27,18,334
10,11,19,294
20,11,19,336
