@RELATION st1perf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
10,22,18,564
20,22,18,564
30,22,18,563
40,22,18,563
45,22,18,530
50,22,18,532
55,22,18,562
60,22,18,563
70,22,18,563
80,22,18,564
90,22,18,564
100,22,18,564
10,27,18,526
20,27,18,558
30,27,18,550
40,27,18,558
45,27,18,558
50,27,18,559
55,27,18,559
60,27,18,560
70,27,18,559
80,27,18,560
90,27,18,559
100,27,18,560
10,11,19,663
20,11,19,647
30,11,19,641
40,11,19,628
45,11,19,585
50,11,19,582
55,11,19,613
60,11,19,608
70,11,19,597
80,11,19,556
90,11,19,547
100,11,19,539
10,16,19,584
20,16,19,592
30,16,19,580
40,16,19,586
45,16,19,548
50,16,19,552
55,16,19,582
60,16,19,581
70,16,19,577
80,16,19,542
90,16,19,540
100,16,19,536
10,5,20,847
20,5,20,801
30,5,20,768
40,5,20,739
45,5,20,673
50,5,20,671
55,5,20,703
60,5,20,684
70,5,20,661
80,5,20,597
90,5,20,574
100,5,20,549
10,20,20,560
20,20,20,567
30,20,20,555
40,20,20,563
45,20,20,533
50,20,20,532
55,20,20,565
60,20,20,564
70,20,20,565
80,20,20,564
90,20,20,563
100,20,20,564
10,25,20,507
20,25,20,558
30,25,20,530
40,25,20,560
45,25,20,552
50,25,20,559
55,25,20,560
60,25,20,559
70,25,20,560
80,25,20,559
90,25,20,560
100,25,20,560
10,30,20,489
20,30,20,555
30,30,20,525
40,30,20,539
45,30,20,537
50,30,20,557
55,30,20,557
60,30,20,557
70,30,20,557
80,30,20,557
90,30,20,557
100,30,20,557
10,9,21,707
20,9,21,691
30,9,21,667
40,9,21,653
45,9,21,614
50,9,21,606
55,9,21,636
60,9,21,627
70,9,21,612
80,9,21,568
90,9,21,552
100,9,21,538
10,14,21,628
20,14,21,626
30,14,21,614
40,14,21,606
45,14,21,566
50,14,21,563
55,14,21,599
60,14,21,596
70,14,21,587
80,14,21,549
90,14,21,542
100,14,21,536
10,3,22,1062
20,3,22,995
30,3,22,938
40,3,22,879
45,3,22,801
50,3,22,765
55,3,22,791
60,3,22,771
70,3,22,717
80,3,22,632
90,3,22,587
100,3,22,549
10,13,22,649
20,13,22,637
30,13,22,630
40,13,22,619
45,13,22,575
50,13,22,577
55,13,22,608
60,13,22,602
70,13,22,594
80,13,22,551
90,13,22,544
100,13,22,536
10,18,22,588
20,18,22,588
30,18,22,579
40,18,22,578
45,18,22,537
50,18,22,546
55,18,22,579
60,18,22,578
70,18,22,573
80,18,22,570
90,18,22,567
100,18,22,564
10,23,22,515
20,23,22,558
30,23,22,539
40,23,22,559
45,23,22,559
50,23,22,559
55,23,22,560
60,23,22,560
70,23,22,559
80,23,22,560
90,23,22,561
100,23,22,560
10,28,22,543
20,28,22,543
30,28,22,554
40,28,22,548
45,28,22,538
50,28,22,552
55,28,22,557
60,28,22,557
70,28,22,557
80,28,22,557
90,28,22,557
100,28,22,557
10,6,24,802
20,6,24,766
30,6,24,734
40,6,24,713
45,6,24,664
50,6,24,650
55,6,24,681
60,6,24,667
70,6,24,641
80,6,24,584
90,6,24,561
100,6,24,540
10,11,24,686
20,11,24,666
30,11,24,653
40,11,24,639
45,11,24,601
50,11,24,593
55,11,24,621
60,11,24,615
70,11,24,601
80,11,24,557
90,11,24,546
100,11,24,534
10,16,24,616
20,16,24,615
30,16,24,604
40,16,24,604
45,16,24,559
50,16,24,562
55,16,24,595
60,16,24,589
70,16,24,582
80,16,24,576
90,16,24,570
100,16,24,564
10,21,24,553
20,21,24,561
30,21,24,558
40,21,24,561
45,21,24,556
50,21,24,569
55,21,24,571
60,21,24,569
70,21,24,566
80,21,24,564
90,21,24,561
100,21,24,560
10,25,25,536
20,25,25,545
30,25,25,550
40,25,25,557
45,25,25,556
50,25,25,556
55,25,25,558
60,25,25,558
70,25,25,558
80,25,25,557
90,25,25,557
100,25,25,558
10,14,26,653
20,14,26,645
30,14,26,628
40,14,26,622
45,14,26,616
50,14,26,580
55,14,26,609
60,14,26,606
70,14,26,592
80,14,26,583
90,14,26,573
100,14,26,563
10,3,27,1039
20,3,27,994
30,3,27,939
40,3,27,871
45,3,27,796
50,3,27,766
55,3,27,789
60,3,27,758
70,3,27,712
80,3,27,625
90,3,27,581
100,3,27,541
